Year,YearEndPopulation
2004,966.06
2005,949.68
2006,996.66
2007,1053.01
2008,1115.34
2009,1186.97
2010,1270.96
2011,1346.32
2012,1415.53
2013,1472.24
2014,1529.02
2015,1594.95
2016,1678.38
2017,1746.27
2018,1798.13
